
   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
   37.1963  -80.5783    0.0    0.0  337.5   19.4   961.2   10.6   55.1                    
   152  4160  1067   277   -52   118   182    98   171
   142  3200  1096   275   -69   107   185   102   134
   132  2323  1084   275   -76   100   188   106   155
   122  1507  1031   277   -76    97   192   110   220
   112  1253   958   275   -67   103   195   114   140
   102  1158   885   271   -54   112   197   116    25
    92  1231   834   272   -55   110   191   109    54
    82  1390   815   275   -56   107   188   104    90
    72  1911   814   277   -51   108   202   110    76
    62  2174   797   278   -55   106   203   112    97
    52  2033   799   278   -70   102   184   106   160
    42  1765   808   279   -81    98   175   108   292
    32  1410   839   280   -90    94   169   115   522
    22  1009   797   279  -108    83   170   114 -9999
    12   595   690   278  -128    70   173   110 -9999
$

   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
   37.1963  -80.5783    0.0   -0.1  344.5   28.3   959.8   14.7   42.8                    

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
  7949    11    10  2016    11    50   348   459   411     0

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
     1     1     0     0  5103  5004  4900     0   235  9063

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
     9     7     9     8   116   118   118     0    53 10100

   ALT    CT SPEED   DIR     W    SW    SU    SV  ETAM

   182  9253   822   282   -27   111   167   100   555
   172  3518   811   280   -28   110   167   104   543
   162  3041   799   277   -22   116   168   109   586
   152  2544   792   274   -26   117   168   108   576
   142  2014   786   271   -48   106   169    98   488
   132  1498   798   269   -61    98   168    98   328
   122   991   857   270   -70    91   165   104    85
   112   917   815   269   -65    97   184   101    35
   102   965   760   268   -56   106   206    94    53
    92  1083   754   270   -55   104   193    89   118
    82  1271   748   269   -56   101   179    84   158
    72  1758   737   268   -56   103   179    77    80
    62  1976   704   268   -60   103   176    78    56
    52  1774   687   269   -71    98   170    90   117
    42  1504   680   269   -75    96   167    94   136
    32  1187   655   268   -77    93   164    92   135
    22   978   629   270   -83    94   175   101 -9999
    12   796   603   274   -90    96   190   112 -9999
$

   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
   37.1963  -80.5783    0.1    0.0  344.6   28.5   959.8   14.9   41.9                    

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
  7948    11    10  2016    11    55   437   395   409     0

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
     1     1     0     0  5003  5104  5001     0   235  9063

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
     9     7     9     8   116   118   118     0    54 10100

   ALT    CT SPEED   DIR     W    SW    SU    SV  ETAM

   182  8589  1124   275   -51    76 -9999 -9999 -9999
   172  8872  1078   274   -54    74   179   114    59
   162  7721  1023   274   -57    73   174   112    56
   152  6048   970   274   -59    72   169   110    55
   142  3494   909   273   -62    70   163   108    53
   132  1890   862   274   -61    69   158   106    52
   122   984   838   276   -55    68   152   104    51
   112   802   830   278   -59    77   159   102    53
   102   825   822   280   -67    89   169   100    64
    92   924   793   279   -69    88   165    95   146
    82  1003   777   277   -71    87   160    92   204
    72   993   756   274   -70    86   158    91   153
    62  1024   705   275   -70    85   157    94   111
    52  1121   668   275   -71    81   159   101    63
    42   984   642   276   -66    79   146   103   100
    32   686   627   276   -55    78   120   103   218
    22   713   594   276   -61    79   121   105 -9999
    12   823   548   276   -71    82   129   106 -9999
$

   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
   37.1963  -80.5783    0.0   -0.1  344.7   28.7   959.7   15.0   43.9                    

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
  7947    11    10  2016    12     0   434   359   504     0

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
     1     1     0     0  4903  5004  4900     0   235  9063

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
     9     7     9     8   118   118   118     0    53 10100

   ALT    CT SPEED   DIR     W    SW    SU    SV  ETAM

   182  9067   705   282   -33    98 -9999 -9999 -9999
   172 14672   698   279   -25   100   209   119   102
   162  8615   699   280   -16   100   203   115    85
   152  4502   712   286    -9   100   197   111    87
   142  3661   697   276    -3    97   190   107   121
   132  2683   699   269     4    94   184   104   101
   122  1605   698   274    14    92   177   100    38
   112  1225   716   275     3    98   171    96   116
   102  1042   731   277   -14   106   165    93   229
    92  1124   726   276   -20   104   158    93   222
    82  1223   704   277   -24   100   153    96   208
    72  1380   671   278   -26    95   151   105   221
    62  1507   642   279   -27    89   148   109   200
    52  1588   607   281   -25    79   142   109   114
    42  1419   573   283   -23    74   142   105   124
    32  1077   598   278   -21    72   146    97   210
    22   845   569   277   -20    75   146    98 -9999
    12   641   494   280   -18    78   143   103 -9999
$

   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
   37.1963  -80.5783    0.1   -0.1  344.6   29.0   959.9   15.3   44.3                    

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
  7946    11    10  2016    12     5   558   481   636     0

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
     1     1     0     0  5003  5004  4900     0   256  9063

