
   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
   37.1968  -80.5777    0.0    0.0  282.6   26.0   958.6   20.4   71.4                    

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
   573     5    17  2017     7    40   315   232  1520     0

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
 -9999 -9999 -9999     0  5602  5304  5300    29 -9999  9063

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
 -9999 -9999 -9999 -9999   122   113   106     0    58 10100

   ALT    CT SPEED   DIR     W    SW    SU    SV  U'V'  U'W'  ETAM

    40   237    81   141   -32    25    42   -15    30    31    19
    30   208    91   140   -33    27    19   -24    17    35    27
    20   227    90   141   -28    31    11   -22    19    41    32
    10   315    58   128   -15    36     5   -19     4    20 -9999
$

   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
   37.1969  -80.5777    0.1   -0.2  280.5   47.8   959.2   30.1   54.2                    

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
   573     5    17  2017     9    40   497   447   870     0

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
     2     2     0     0  5402  5404  6301    29   331  9063

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
     8     8     8     8    95    95    86     0    65 10100

   ALT    CT SPEED   DIR     W    SW    SU    SV  U'V'  U'W'  ETAM

   140   251   114   118   -13    52     5   -43     6    32   171
   130   287    98   141   -13    57     7   -34     3    35   214
   120   320   107   122   -12    60     8   -52     4    28   187
   110   358   101   138   -10    61     8   -21    14    41    83
   100   405   122   137    -9    61    12   -42    18    31   188
    90   414   135   141   -10    62    15   -22    20    42   475
    80   403   132   150   -11    63    17   -39    27    52  1038
    70   443   118   150    -7    63    43   -24    43    60  2475
    60   460   140   150    -8    66    46   -20    32    50  1613
    50   484   173   153    -8    67    24   -26    32    64   490
    40   548   163   152    -2    59    41   -28    42    85   951
    30   450   118   153    -2    52    17   -25    15    64   484
    20   383    67   159    -5    48    13    -4     9    30   137
    10   395    82   146   -14    49     3   -17     9    35 -9999
$

   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
   37.1969  -80.5777    0.1   -0.3  280.7   48.7   959.1   30.6   52.7                    

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
   573     5    17  2017     9    50   708   431  1009     0

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
     2     2     0     0  5702  5801  6101    29   331  9063

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
     8     8     8     8    94    94    96     0    59 10100

   ALT    CT SPEED   DIR     W    SW    SU    SV  U'V'  U'W'  ETAM

   140   497   289    41    43    33    14  -126     3    50     8
   130   467   322    37    44    35    11  -121     6    13    12
   120   493   324    34    47    33    11   -99    15   -85    16
   110   613   338    33    54    26    16  -109    17  -109    19
   100   702   329    34    52    29    26  -104    21  -117    21
    90   789   268    40    51    30    24  -106    34  -126    15
    80   872   185    51    51    30    35  -105    19  -110     6
    70   933   154    60    50    29    49   -79    35   -51    15
    60   943   156    56    47    33    53   -67    35   -22    10
    50   906   163    54    45    38    35   -66    22   -30     4
    40   806   171    51    48    40    44   -71    33   -38     8
    30   590   179    48    47    43    33   -70    18   -46    14
    20   420   185    50    39    47    25   -75    18   -50    18
    10   335   166    60    23    53     8   -73    12   -30 -9999
$

   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
   37.1968  -80.5777    0.1   -0.3  280.2   49.4   959.1   30.8   56.1                    

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
   573     5    17  2017    10     0   571   530  1048     0

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
     2     2     0     0  5502  5403  5501    29   353  9063

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
     8     8     8     8    94    94    96     0    58 10100

   ALT    CT SPEED   DIR     W    SW    SU    SV  U'V'  U'W'  ETAM

   140   347   200    48    22    42     1   -91     7   -12    11
   130   318   192    44    27    41     7   -98     7   -37    11
   120   321   219    41    30    41     6   -83    13   -53    11
   110   371   183    41    31    42     6   -70    23   -54    10
   100   390   233    37    31    37    11   -78    31   -71    11
    90   423   287    37    30    36    24   -61    23   -54    10
    80   484   304    41    28    37    39   -89    20   -97    10
    70   642   304    46    27    35    30  -106    32   -99    13
    60   699   296    55    25    35    47  -117    38   -87     7
    50   679   305    51    24    37    33  -128    34   -59     3
    40   566   308    50    21    40    48  -124    34   -79    10
    30   452   300    48    15    38    32  -124    21   -77     8
    20   441   288    45    16    38    15  -109    16   -84     5
    10   568   281    46    26    44     5  -108     7   -79 -9999
$

   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
   37.1968  -80.5777    0.1   -0.3  280.4   50.1   959.1   30.8   50.3                    

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
   573     5    17  2017    10    10   429   528   986     0

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
     2     3     1     0  5603  5303  5600    29   353  9063

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
     8     8     8     8    94   104    96     0    56 10100

   ALT    CT SPEED   DIR     W    SW    SU    SV  U'V'  U'W'  ETAM

   140   442   311   183    40    45     4    29     0   127    41
